client timestamp,button,state,x,y
22593,NoButton,Move,1301,858
22599,NoButton,Move,1301,859
22611,NoButton,Move,1301,860
22647,NoButton,Move,1302,860
22655,LeftButton,Pressed,1302,860
22735,LeftButton,Released,1302,860
22799,NoButton,Move,1301,860
22829,NoButton,Move,1300,860
22847,NoButton,Move,1299,860
22860,NoButton,Move,1298,860
22866,NoButton,Move,1297,859
22910,NoButton,Move,1291,850
22914,NoButton,Move,1289,847
22921,NoButton,Move,1286,844
22935,NoButton,Move,1275,835
22941,NoButton,Move,1269,833
22944,NoButton,Move,1264,832
22951,NoButton,Move,1255,831
22957,NoButton,Move,1246,830
22963,NoButton,Move,1237,830
22969,NoButton,Move,1231,832
22974,NoButton,Move,1230,832
